Customer,Count of Customer,Count of Pre Customer,Perc_transac_change,Post TRAN_AMT,Pre TRAN_AMT,Perce_Amnt_change
452433019,17877,111,16005.41%,164643072180.83002,₦834536930.00,19628.67%
360003444,17877,97,18329.90%,164643072180.83002,₦1354928040.00,12051.43%
163004680,17877,81,21970.37%,164643072180.83002,₦643853590.00,25471.51%
360035238,17877,76,23422.37%,164643072180.83002,₦1560054070.00,10453.68%
114002714,17877,75,23736.00%,164643072180.83002,₦772511350.00,21212.71%
496413365,17877,71,25078.87%,164643072180.83002,₦705393980.00,23240.58%
102017216,17877,65,27403.08%,164643072180.83002,₦325000000.00,50559.41%
555002212,17877,64,27832.81%,164643072180.83002,₦730750000.00,22430.70%
114417462,17877,63,28276.19%,164643072180.83002,₦747000000.00,21940.57%
200408493,17877,61,29206.56%,164643072180.83002,₦443918640.00,36988.57%
453019566,17877,61,29206.56%,164643072180.83002,₦601566000.00,27269.08%
340020611,17877,60,29695.00%,164643072180.83002,₦429531775.00,38230.82%
482000777,17877,59,30200.00%,164643072180.83002,₦654357520.00,25061.03%
694000436,17877,59,30200.00%,164643072180.83002,₦690102100.00,23757.78%
461015046,17877,57,31263.16%,164643072180.83002,₦600729000.00,27307.21%
591400773,17877,55,32403.64%,164643072180.83002,₦275000000.00,59770.21%
480415525,17877,54,33005.56%,164643072180.83002,₦270000000.00,60878.92%
104029436,17877,51,34952.94%,164643072180.83002,₦466642500.00,35182.49%
270416242,17877,51,34952.94%,164643072180.83002,₦555129305.00,29558.51%
497414538,17877,51,34952.94%,164643072180.83002,₦659373915.00,24869.61%
200028989,17877,50,35654.00%,164643072180.83002,₦424356970.00,38698.25%
613403119,17877,50,35654.00%,164643072180.83002,₦1103600000.00,14818.73%
400034533,17877,49,36383.67%,164643072180.83002,₦486763008.00,33724.07%
340011763,17877,48,37143.75%,164643072180.83002,₦370021930.00,44395.49%
755000580,17877,48,37143.75%,164643072180.83002,₦341160950.00,48159.65%
228407777,17877,47,37936.17%,164643072180.83002,₦235000000.00,69960.88%
528001953,17877,47,37936.17%,164643072180.83002,₦956698000.00,17109.51%
423002463,17877,46,38763.04%,164643072180.83002,₦421187680.00,38990.19%
423014439,17877,46,38763.04%,164643072180.83002,₦537918270.00,30507.45%
223000981,17877,45,39626.67%,164643072180.83002,₦329551000.00,49859.82%
553011716,17877,45,39626.67%,164643072180.83002,₦427169800.00,38442.77%
221406822,17877,44,40529.55%,164643072180.83002,₦559994570.00,29300.83%
252021007,17877,44,40529.55%,164643072180.83002,₦392550000.00,41841.94%
786406095,17877,44,40529.55%,164643072180.83002,₦307505000.00,53441.59%
252023722,17877,43,41474.42%,164643072180.83002,₦389937850.00,42122.90%
404033757,17877,43,41474.42%,164643072180.83002,₦274182700.00,59948.67%
458000707,17877,42,42464.29%,164643072180.83002,₦213125000.00,77151.88%
553011715,17877,42,42464.29%,164643072180.83002,₦367655200.00,44681.92%
458011127,17877,41,43502.44%,164643072180.83002,₦208300000.00,78941.32%
486405285,17877,40,44592.50%,164643072180.83002,₦418311405.00,39258.97%
522414939,17877,40,44592.50%,164643072180.83002,₦200000000.00,82221.54%
576420094,17877,40,44592.50%,164643072180.83002,₦368343000.00,44598.30%
577003301,17877,40,44592.50%,164643072180.83002,₦352961415.00,46546.20%
201020553,17877,38,46944.74%,164643072180.83002,₦354370000.00,46360.78%
228406110,17877,38,46944.74%,164643072180.83002,₦190000000.00,86554.25%
228415459,17877,38,46944.74%,164643072180.83002,₦190000000.00,86554.25%
681002757,17877,38,46944.74%,164643072180.83002,₦307432000.00,53454.31%
162017637,17877,37,48216.22%,164643072180.83002,₦424001500.00,38730.78%
252433257,17877,36,49558.33%,164643072180.83002,₦295542500.00,55608.76%
364013190,17877,36,49558.33%,164643072180.83002,₦316385200.00,51938.80%
562416339,17877,36,49558.33%,164643072180.83002,₦311499550.00,52755.00%
250439518,17877,35,50977.14%,164643072180.83002,₦334933000.00,49057.02%
370405897,17877,35,50977.14%,164643072180.83002,₦306630630.00,53594.27%
760404178,17877,35,50977.14%,164643072180.83002,₦175000000.00,93981.76%
760414076,17877,35,50977.14%,164643072180.83002,₦175000000.00,93981.76%
110426867,17877,34,52479.41%,164643072180.83002,₦338714450.00,48508.22%
130408684,17877,34,52479.41%,164643072180.83002,₦590375000.00,27787.88%
591400775,17877,34,52479.41%,164643072180.83002,₦170000000.00,96748.87%
142012216,17877,33,54072.73%,164643072180.83002,₦286213130.00,57424.64%
750405560,17877,33,54072.73%,164643072180.83002,₦228591000.00,71925.18%
130406307,17877,32,55765.63%,164643072180.83002,₦306546800.00,53608.95%
175405637,17877,32,55765.63%,164643072180.83002,₦160000000.00,102801.92%
313409080,17877,32,55765.63%,164643072180.83002,₦341501110.00,48111.58%
421407793,17877,32,55765.63%,164643072180.83002,₦252755000.00,65039.39%
789410627,17877,32,55765.63%,164643072180.83002,₦276975480.00,59343.19%
618400085,17877,31,57567.74%,164643072180.83002,₦226657500.00,72539.59%
630424563,17877,31,57567.74%,164643072180.83002,₦292678400.00,56153.92%
119008809,17877,30,59490.00%,164643072180.83002,₦355016600.00,46276.16%
210032835,17877,30,59490.00%,164643072180.83002,₦417090720.00,39374.16%
215453115,17877,30,59490.00%,164643072180.83002,₦481544000.00,34090.66%
324431628,17877,30,59490.00%,164643072180.83002,₦208033270.00,79042.66%
654001693,17877,30,59490.00%,164643072180.83002,₦332618800.00,49399.03%
820403312,17877,30,59490.00%,164643072180.83002,₦150000000.00,109662.05%
182020381,17877,29,61544.83%,164643072180.83002,₦179286035.00,91732.62%
190499313,17877,29,61544.83%,164643072180.83002,₦202394000.00,81247.80%
202424501,17877,29,61544.83%,164643072180.83002,₦261750000.00,62800.89%
370422260,17877,29,61544.83%,164643072180.83002,₦370997030.00,44278.54%
789416640,17877,29,61544.83%,164643072180.83002,₦244888290.00,67131.91%
119006597,17877,28,63746.43%,164643072180.83002,₦202309400.00,81281.82%
220000100,17877,28,63746.43%,164643072180.83002,₦255603200.00,64313.54%
407004625,17877,28,63746.43%,164643072180.83002,₦199633500.00,82372.67%
411407457,17877,28,63746.43%,164643072180.83002,₦224395000.00,73271.99%
726410903,17877,28,63746.43%,164643072180.83002,₦339108310.00,48451.77%
103000763,17877,27,66111.11%,164643072180.83002,₦215543000.00,76285.26%
490008238,17877,27,66111.11%,164643072180.83002,₦229990795.00,71486.81%
620411758,17877,27,66111.11%,164643072180.83002,₦257580140.00,63819.16%
679414040,17877,27,66111.11%,164643072180.83002,₦135000000.00,121857.83%
729413053,17877,27,66111.11%,164643072180.83002,₦364500000.00,45069.57%
742414582,17877,27,66111.11%,164643072180.83002,₦223404840.00,73597.18%
285412494,17877,26,68657.69%,164643072180.83002,₦130000000.00,126548.52%
461012285,17877,26,68657.69%,164643072180.83002,₦165172370.00,99579.55%
628404359,17877,26,68657.69%,164643072180.83002,₦241330210.00,68123.15%
681000573,17877,26,68657.69%,164643072180.83002,₦362415635.00,45329.35%
721403483,17877,26,68657.69%,164643072180.83002,₦182344630.00,90192.25%
149412499,17877,25,71408.00%,164643072180.83002,₦211730000.00,77660.86%
154099295,17877,25,71408.00%,164643072180.83002,₦167231000.00,98352.48%
